date,type,category,amount
2025-01-08,credit,gambling,2708.8
2024-10-31,credit,salary,2424.19
2024-07-25,debit,shopping,1244.77
2025-01-28,debit,finance,4728.04
2024-10-06,credit,bank transfer,3708.49
2024-06-28,credit,gambling,4357.1
2025-02-13,debit,finance,681.83
2025-03-01,debit,finance,594.13
2024-10-13,debit,finance,4388.43
2024-09-25,debit,shopping,866.87
2025-04-22,debit,education,72.68
2024-12-16,debit,education,224.61
2024-12-19,debit,personal,2158.02
2024-10-05,debit,gambling,1146.51
2025-04-08,credit,gambling,2343.96
2025-03-31,credit,gambling,442.58
2024-06-21,credit,investments returns,1833.39
2024-06-17,debit,gambling,4922.64
2025-02-04,credit,government benefits,3329.37
2024-07-30,debit,medical,4567.94
2024-05-28,debit,finance,3971.56
2025-02-02,credit,gambling,4589.84
2024-08-13,credit,investments returns,4358.86
2025-03-26,debit,education,4812.99
2024-07-28,debit,gambling,4927.26
2024-09-12,credit,refunds,3318.69
2024-10-26,credit,bank transfer,4266.72
2025-04-27,debit,education,880.85
2025-04-23,credit,bank transfer,4769.58
2025-03-12,debit,personal,4692.95
2024-06-29,credit,gambling,1768.68
2024-07-18,debit,finance,404.84
2024-06-30,debit,medical,4288.42
2024-05-30,debit,medical,4577.64
2024-05-31,debit,gambling,472.35
2025-03-05,credit,salary,578.43
2025-01-04,debit,medical,1695.24
2025-03-12,credit,refunds,1085.75
2024-05-15,debit,shopping,2234.34
2024-09-15,debit,education,1735.27
2025-04-27,credit,salary,4857.33
2025-04-08,debit,finance,2281.44
2024-09-08,debit,medical,2053.64
2024-09-13,debit,medical,3782.14
2024-06-16,credit,government benefits,3112.36
2025-04-26,debit,personal,3002.13
2024-07-02,debit,gambling,712.57
2024-05-10,credit,bank transfer,1717.47
2024-11-06,debit,medical,3791.49
2025-04-26,credit,government benefits,422.92
2024-09-19,credit,salary,2677.32
2024-07-25,credit,salary,550.83
2025-03-08,credit,gambling,3935.94
2024-05-12,credit,refunds,1511.46
2025-04-13,credit,salary,2820.34
2025-03-05,credit,bank transfer,4297.38
2025-03-16,credit,government benefits,2055.76
2024-07-19,debit,medical,3324.04
2025-02-20,credit,gambling,1547.23
2024-11-25,credit,investments returns,2190.26
2025-01-24,credit,refunds,2296.07
2024-07-14,debit,finance,325.41
2025-02-18,debit,education,2892.67
2024-07-02,debit,education,2316.04
2024-08-10,debit,medical,4342.14
2024-11-24,debit,finance,557.97
2025-03-28,credit,salary,4932.17
2025-04-07,debit,medical,1550.98
2024-06-11,debit,shopping,3496.09
2025-04-19,credit,salary,3257.73
2025-02-27,debit,gambling,2261.22
2025-01-15,debit,finance,1686.95
2025-04-20,credit,government benefits,1042.16
2025-01-18,debit,education,982.66
2024-07-09,credit,investments returns,4754.8
2024-09-21,debit,education,1982.49
2024-08-06,debit,finance,2920.34
2024-07-25,credit,salary,4047.8
2024-08-26,debit,shopping,2926.43
2025-04-28,credit,government benefits,4874.31
2025-01-08,debit,personal,4222.45
2024-06-17,debit,medical,1050.57
2024-11-16,debit,personal,587.91
2024-05-31,credit,government benefits,3452.03
2024-05-26,credit,government benefits,1782.81
2025-03-09,credit,gambling,188.45
2024-12-01,credit,salary,2991.23
2025-01-03,credit,bank transfer,1090.66
2024-09-08,debit,gambling,2314.6
2025-01-05,credit,refunds,2435.05
2024-11-18,debit,gambling,1841.77
2024-07-24,debit,finance,3568.98
2024-09-15,debit,shopping,1569.17
2024-10-20,debit,education,1695.25
2024-12-21,credit,government benefits,540.04
2025-03-26,debit,medical,734.14
2024-11-20,credit,gambling,4897.68
2024-09-30,debit,medical,2648.26
2024-08-12,debit,finance,4386.74
2025-03-28,credit,refunds,805.85
2024-08-01,credit,salary,861.12
2024-10-30,credit,gambling,3736.51
2024-11-14,debit,education,3069.98
2024-05-19,debit,gambling,2112.12
2024-10-27,debit,finance,3569.58
2025-01-01,debit,personal,975.09
2025-04-14,credit,salary,4784.26
2024-08-29,credit,salary,701.61
2024-12-06,credit,salary,2448.59
2024-07-06,debit,medical,1943.91
2024-10-14,debit,medical,2064.59
2025-02-23,debit,personal,4395.04
2024-12-21,debit,finance,2452.54
2025-03-06,credit,investments returns,4179.59
2025-02-09,debit,medical,4374.4
2024-08-26,credit,government benefits,1276.61
2024-09-21,credit,gambling,146.45
2025-02-05,debit,shopping,1717.35
2024-12-14,credit,refunds,411.11
2024-06-13,debit,finance,2104.05
2024-06-27,debit,medical,1983.32
2024-10-07,debit,gambling,3247.33
2024-12-24,credit,refunds,4231.45
2024-09-14,credit,gambling,383.57
2025-02-17,credit,salary,2417.35
2024-08-24,credit,investments returns,3221.41
2025-01-02,credit,refunds,4589.02
2024-12-16,credit,gambling,440.88
2025-05-02,debit,finance,3111.23
2025-01-30,debit,shopping,1534.46
2024-10-27,debit,personal,1109.72
2024-12-08,debit,personal,3569.05
2024-10-30,credit,government benefits,3903.85
2025-02-22,credit,gambling,410.58
2024-12-07,credit,investments returns,3037.3
2024-11-29,credit,investments returns,4461.23
2024-11-11,credit,refunds,553.3
2024-08-01,credit,investments returns,1029.39
2024-11-25,debit,finance,581.78
2024-06-07,debit,medical,4971.53
2025-01-25,debit,gambling,2935.95
2024-07-10,debit,shopping,631.99
2024-10-23,debit,gambling,1949.82
2025-02-17,credit,gambling,970.48
2024-05-16,debit,shopping,2993.38
2024-10-12,debit,finance,3516.68
2025-04-02,debit,gambling,4773.94
2024-12-01,credit,investments returns,3757.11
2024-05-29,debit,education,4280.42
2024-11-07,debit,medical,3630.91
2025-03-01,debit,shopping,4482.69
2024-06-21,credit,bank transfer,4254.8
2024-10-08,debit,personal,4827.89
2024-10-26,credit,salary,1369.91
2024-11-08,credit,government benefits,144.88
2024-10-13,debit,gambling,2871.04
2024-07-18,credit,salary,494.59
2024-12-10,debit,medical,1506.01
2024-05-30,debit,medical,3428.24
2024-11-29,credit,bank transfer,841.52
2024-10-30,credit,salary,2257.51
2025-01-06,debit,finance,74.13
2025-02-17,credit,government benefits,3599.65
2025-02-12,debit,medical,296.2
2024-09-29,debit,shopping,150.41
2025-03-16,debit,finance,1584.2
2024-10-20,credit,bank transfer,4823.34
2024-09-17,debit,shopping,4881.98
2025-04-19,credit,bank transfer,3936.64
2024-07-30,credit,bank transfer,3542.5
2025-03-12,credit,gambling,1639.71
2024-10-30,credit,gambling,1764.22
2024-09-11,credit,bank transfer,4307.12
2024-05-07,credit,gambling,3188.29
2025-04-29,credit,salary,3745.37
2024-07-12,debit,shopping,4555.56
2025-04-08,debit,personal,1597.33
2024-12-21,debit,shopping,4172.84
2024-11-16,credit,bank transfer,1805.19
2025-05-01,credit,bank transfer,4067.18
2024-09-22,debit,shopping,4150.1
2025-04-23,debit,shopping,4467.23
2024-07-25,credit,government benefits,2789.17
2025-04-20,debit,education,2688.71
2025-01-31,credit,gambling,309.24
2024-07-30,debit,shopping,2711.28
2024-07-11,debit,medical,3363.87
2024-06-16,debit,medical,71.43
2024-07-14,debit,shopping,2603.7
2024-06-13,credit,refunds,4718.0
2024-09-04,credit,bank transfer,4817.81
2024-09-14,debit,shopping,3401.49
2024-05-26,credit,salary,2110.67
2025-04-01,debit,personal,1479.24
2025-03-16,credit,refunds,1428.47
2024-05-17,debit,finance,2399.53
2024-10-28,credit,gambling,1758.62
2025-04-27,debit,education,1055.64
2024-12-10,credit,refunds,3206.46
2025-01-27,debit,education,976.24
2024-08-20,debit,personal,2226.17
2025-04-29,credit,salary,3424.64
2024-11-20,credit,salary,2677.46
2024-06-09,credit,gambling,3399.1
2024-08-04,debit,gambling,2490.37
2024-12-31,debit,education,521.53
2024-10-12,debit,shopping,1410.5
2024-08-19,debit,education,3322.3
2025-02-24,credit,refunds,1698.26
2024-09-29,credit,investments returns,3776.4
2025-03-21,debit,education,2140.81
2024-12-11,debit,finance,3047.84
2025-03-20,debit,gambling,123.3
2024-12-04,credit,government benefits,4002.71
2024-10-17,credit,gambling,463.75
2024-12-05,credit,salary,3027.11
2024-07-22,debit,shopping,320.71
2025-01-19,credit,refunds,941.57
2024-10-18,credit,bank transfer,2163.49
2024-08-11,credit,investments returns,2191.15
2024-05-30,debit,finance,4859.74
2025-04-27,credit,government benefits,2720.8
2024-07-21,credit,salary,3526.74
2025-03-01,credit,bank transfer,4169.5
2025-01-17,credit,salary,2047.09
2025-03-30,credit,bank transfer,4628.04
2024-08-02,debit,education,2286.64
2025-03-13,credit,government benefits,3219.72
2025-02-04,debit,medical,1475.32
2024-06-22,credit,government benefits,3281.94
2025-02-03,credit,gambling,4287.33
2024-12-16,debit,shopping,692.32
2024-06-13,debit,education,4504.6
2025-02-19,credit,refunds,928.89
2024-09-08,credit,investments returns,1744.49
2024-12-06,credit,bank transfer,1585.76
2024-08-18,debit,finance,2933.87
2024-07-30,credit,gambling,1653.65
2024-12-12,credit,government benefits,1739.5
2024-09-14,debit,education,4545.41
2025-02-22,credit,gambling,4056.22
2024-10-09,credit,government benefits,1076.6
2024-09-01,credit,gambling,3684.25
2025-04-18,credit,investments returns,138.56
2024-07-11,credit,gambling,2571.8
2025-03-07,debit,shopping,2107.15
2024-06-22,credit,investments returns,2270.76
2024-12-16,debit,personal,2460.28
2024-10-25,credit,government benefits,2942.45
2025-03-23,debit,education,942.62
2024-09-16,debit,personal,1152.34
2025-05-03,debit,gambling,3779.9
2025-01-10,debit,gambling,2271.92
2024-05-11,credit,government benefits,1030.08
2025-01-29,credit,salary,4445.55
2024-07-07,credit,salary,4006.39
2024-05-07,debit,shopping,719.14
2024-12-28,debit,gambling,974.75
2025-01-18,credit,bank transfer,3188.81
2024-07-26,credit,government benefits,2378.31
2025-01-31,debit,education,4886.29
2025-01-23,debit,personal,2823.83
2024-12-24,debit,medical,3757.5
2025-03-10,credit,bank transfer,3617.42
2024-06-18,credit,salary,3123.13
2024-11-12,credit,government benefits,4458.36
2024-09-17,credit,gambling,168.04
2025-05-05,credit,gambling,61.38
2024-11-18,credit,refunds,674.16
2024-09-16,debit,shopping,1736.02
2024-12-18,credit,salary,1758.23
2024-12-05,debit,personal,2972.13
2025-05-06,debit,personal,905.65
2024-08-18,credit,refunds,3177.9
2025-04-22,debit,personal,2050.61
2025-01-10,debit,medical,3712.37
2024-08-24,debit,shopping,259.12
2024-07-07,credit,government benefits,4119.19
2024-05-24,credit,bank transfer,4836.83
2025-04-21,debit,gambling,870.27
2025-01-27,debit,finance,4518.81
2024-07-11,debit,personal,858.05
2024-07-13,credit,bank transfer,3547.08
2025-01-03,credit,refunds,4628.44
2024-05-25,debit,shopping,4621.83
2025-04-24,credit,investments returns,4389.19
2024-06-01,debit,education,2992.0
2024-10-31,debit,finance,2677.63
2025-04-25,debit,gambling,4938.5
2025-01-30,debit,education,169.24
2025-03-30,credit,bank transfer,1701.51
2024-05-21,credit,salary,3980.72
2025-03-20,debit,gambling,3617.56
2024-08-18,credit,salary,1665.2
2024-12-06,credit,gambling,4974.25
2024-09-08,debit,finance,3050.49
2024-05-12,credit,gambling,4253.64
2024-09-06,credit,bank transfer,4596.35
2025-04-14,credit,government benefits,4392.87
2024-12-23,debit,medical,1212.09
2024-12-21,debit,finance,2642.71
2024-07-02,credit,bank transfer,3933.79
2025-01-10,credit,investments returns,2055.75
2025-03-23,debit,shopping,4251.07
2025-03-14,credit,gambling,377.7
2024-09-09,debit,education,4218.72
2024-12-29,credit,gambling,383.36
2025-03-25,credit,gambling,1164.05
2024-06-29,debit,education,4171.51
2024-10-04,debit,gambling,1323.85
2025-02-19,credit,gambling,376.58
2024-05-12,debit,finance,4635.31
2025-04-13,debit,gambling,4948.21
2024-09-21,debit,education,3946.58
2025-02-25,credit,gambling,3561.16
2025-01-17,credit,investments returns,3572.9
2025-01-13,debit,medical,1573.31
2024-06-19,credit,refunds,3274.97
2024-07-18,credit,bank transfer,4044.74
2024-07-18,debit,medical,2923.0
2024-11-18,credit,salary,685.47
2024-07-29,credit,government benefits,4630.05
2025-04-22,credit,salary,1585.61
2024-08-26,debit,medical,4450.09
2025-02-11,credit,investments returns,3749.83
2025-04-29,debit,finance,2280.24
2024-12-30,debit,medical,2929.36
2025-01-21,debit,gambling,2675.34
2024-07-26,credit,bank transfer,1476.69
2024-05-10,credit,government benefits,3204.64
2024-06-17,debit,shopping,1365.17
2025-01-31,debit,finance,3898.42
2024-06-06,credit,salary,3354.32
2024-05-08,credit,bank transfer,418.47
2024-05-15,debit,finance,3689.1
2025-05-02,credit,investments returns,4147.49
2024-06-26,credit,bank transfer,4116.69
2025-02-06,debit,medical,727.49
2024-10-08,credit,refunds,1366.23
2025-04-07,debit,personal,3040.05
2024-08-13,credit,gambling,1688.02
2024-12-04,credit,refunds,3297.16
2025-03-19,credit,refunds,1851.01
2025-03-04,credit,salary,3209.21
2025-02-14,credit,bank transfer,902.13
2024-10-02,debit,finance,1175.9
2025-03-23,credit,refunds,2253.03
2024-10-18,credit,government benefits,2845.9
2024-11-23,debit,medical,4754.79
2024-08-28,debit,education,30.03
2025-05-07,credit,bank transfer,646.7
2024-10-10,debit,gambling,2346.62
2024-11-12,credit,government benefits,1870.0
2024-05-25,credit,salary,52.79
2024-09-13,credit,gambling,3469.29
2024-11-19,credit,gambling,3762.63
2025-02-08,debit,education,3721.74
2025-04-20,debit,finance,1906.52
2024-09-24,credit,gambling,2732.23
2025-02-20,credit,bank transfer,3449.37
2024-11-27,credit,gambling,3496.01
2024-05-29,credit,government benefits,2715.81
2024-08-23,debit,medical,2744.37
2025-04-19,credit,government benefits,2053.4
2024-11-16,debit,personal,543.52
2025-04-09,credit,salary,4346.88
2024-05-28,credit,bank transfer,516.79
2024-10-19,credit,bank transfer,3054.68
2025-04-03,debit,gambling,4463.11
2024-08-05,credit,government benefits,3540.6
2024-08-19,debit,medical,3881.53
2024-10-22,credit,bank transfer,1448.37
2025-04-23,credit,bank transfer,794.86
2024-12-03,credit,bank transfer,4963.31
2024-05-24,credit,bank transfer,1185.11
2025-03-17,credit,investments returns,968.72
2024-06-05,debit,education,3588.62
2025-02-13,credit,refunds,444.74
2024-10-05,credit,refunds,842.31
2024-05-27,credit,refunds,4737.96
2025-04-20,debit,education,618.08
2024-09-19,credit,refunds,1496.37
2025-04-13,credit,bank transfer,3286.75
2024-12-27,debit,shopping,2920.01
2024-09-20,credit,bank transfer,657.63
2025-05-03,debit,personal,2723.17
2024-10-22,credit,bank transfer,3464.42
2024-10-13,credit,government benefits,4710.28
2025-04-30,debit,medical,4171.09
2024-05-27,credit,investments returns,1977.84
2024-08-22,debit,education,329.36
2024-08-11,credit,bank transfer,2294.84
2024-07-29,debit,shopping,1343.87
2024-12-31,debit,medical,84.95
2024-09-20,credit,bank transfer,509.98
2024-11-14,debit,education,3984.39
2024-08-24,debit,finance,2251.3
2024-09-28,debit,personal,2478.84
2024-08-25,credit,refunds,4242.0
2025-04-09,debit,medical,4744.01
2025-04-28,credit,investments returns,1832.16
2024-12-15,credit,refunds,3925.34
2024-12-26,credit,refunds,4682.23
2024-07-03,credit,refunds,3065.77
2024-08-14,credit,salary,4189.14
2024-06-01,debit,personal,3108.05
2025-03-18,credit,bank transfer,1946.09
2025-03-28,debit,shopping,4220.68
2024-09-23,credit,refunds,1281.4
2025-02-03,credit,bank transfer,4408.52
2024-12-25,debit,education,3015.83
2024-07-05,debit,gambling,1105.5
2025-01-02,credit,government benefits,4493.34
2024-10-25,credit,bank transfer,4652.84
2024-08-07,debit,personal,4115.47
2025-01-10,debit,shopping,4862.96
2025-03-22,debit,shopping,490.61
2024-09-28,debit,personal,977.95
2025-01-15,debit,finance,4384.31
2025-02-01,debit,shopping,1967.94
2025-04-26,debit,finance,918.14
2024-09-26,debit,gambling,3692.78
2024-07-21,debit,personal,2596.71
2025-03-06,credit,salary,1864.8
2024-05-16,debit,shopping,2355.56
2025-03-07,debit,personal,1948.85
2025-02-12,credit,salary,971.48
2024-11-07,debit,shopping,2201.04
2024-08-19,credit,salary,3271.25
2025-01-11,debit,personal,4580.36
2025-01-16,debit,personal,4575.72
2025-02-17,debit,education,2276.77
2024-12-09,debit,gambling,3208.94
2024-12-20,credit,government benefits,2465.2
2024-11-07,credit,bank transfer,2460.17
2024-09-22,debit,gambling,4675.44
2024-06-10,credit,gambling,2524.14
2025-03-04,debit,personal,2805.69
2025-04-12,credit,gambling,4970.47
2024-09-15,credit,bank transfer,4156.51
2024-12-29,credit,bank transfer,2267.1
2024-10-19,credit,salary,1644.26
2025-02-04,credit,government benefits,2310.39
2024-07-16,credit,government benefits,1778.05
2025-02-24,debit,medical,488.27
2025-02-25,debit,medical,2512.56
2024-05-24,debit,medical,2739.05
2025-03-08,debit,medical,1678.95
2024-05-15,credit,salary,1659.23
2024-05-11,debit,shopping,4604.08
2024-10-04,credit,government benefits,4731.33
2025-03-28,credit,government benefits,643.79
2024-09-19,credit,bank transfer,2529.71
2024-06-11,credit,gambling,2699.92
2025-05-04,debit,medical,3906.15
2025-03-23,debit,medical,1769.38
2025-04-19,debit,personal,2766.76
2024-10-04,debit,gambling,3510.18
2024-06-24,debit,gambling,3571.56
2025-03-28,credit,salary,3896.38
2024-07-03,credit,salary,1404.48
2025-03-05,debit,personal,1749.03
2025-05-07,credit,investments returns,1290.43
2025-03-16,debit,medical,2783.76
2024-08-03,credit,government benefits,4467.6
2024-10-14,credit,bank transfer,2105.21
2024-05-12,credit,bank transfer,1898.39
2024-10-30,credit,refunds,3039.07
2024-10-26,debit,gambling,2163.08
2025-03-27,credit,investments returns,2794.23
2024-10-29,debit,finance,4429.57
2024-09-21,debit,gambling,3678.48
2025-04-22,credit,bank transfer,3145.62
2024-12-05,credit,gambling,3312.98
2025-01-07,credit,bank transfer,1298.89
2024-09-19,credit,refunds,4854.71
2025-04-20,debit,finance,18.17
2024-10-16,debit,personal,4805.76
2025-03-28,credit,bank transfer,906.78
2025-02-23,debit,personal,2560.63
2025-04-20,credit,bank transfer,1574.09
2024-11-26,credit,salary,4351.48
2024-11-22,debit,education,4690.72
2025-04-19,credit,salary,4274.51
2024-07-30,credit,government benefits,3036.8
2025-01-07,debit,medical,450.5
2024-09-21,debit,personal,4663.02
2025-02-02,credit,gambling,2552.87
2025-03-24,credit,refunds,1439.6
2024-10-11,credit,government benefits,4618.12
2024-12-25,debit,personal,4154.72
2025-03-04,credit,government benefits,4893.57
2024-09-21,credit,bank transfer,2566.94
2025-01-15,debit,shopping,4506.07
2024-09-15,debit,education,2702.22
2025-02-22,debit,medical,436.29
2025-03-28,credit,gambling,3412.62
2024-07-25,debit,education,546.06
2025-03-31,debit,medical,1422.77
2024-06-03,credit,investments returns,2542.34
2025-05-06,credit,gambling,3813.5
2024-09-10,debit,finance,787.94
2025-03-14,credit,government benefits,468.43
2024-08-06,debit,education,2891.3
2025-04-06,credit,salary,993.9
2025-02-25,credit,investments returns,123.8
2024-08-01,credit,refunds,504.96
2024-06-12,credit,government benefits,831.02
2024-10-25,debit,shopping,1466.62
2024-08-15,credit,investments returns,2982.19
2024-12-03,credit,gambling,1137.77
2024-10-28,debit,personal,1574.93
2025-04-05,debit,shopping,627.65
2024-12-10,debit,shopping,3250.61
2024-08-16,credit,investments returns,1855.96
2025-03-22,credit,gambling,3230.6
2025-04-09,credit,bank transfer,1157.09
2024-12-14,debit,finance,3995.41
2024-12-25,debit,finance,4223.16
2024-08-09,debit,personal,609.64
2024-11-29,credit,salary,1079.18
2024-10-03,debit,gambling,3890.6
2024-06-02,debit,medical,1395.09
2025-01-01,credit,gambling,1388.27
2025-01-19,credit,gambling,2823.51
2024-12-03,credit,government benefits,2093.42
2025-03-08,credit,gambling,1853.29
2024-12-12,credit,refunds,2092.36
2024-06-07,credit,investments returns,487.39
2024-07-30,credit,investments returns,3564.43
2024-09-23,credit,refunds,4984.22
2024-06-14,debit,education,4242.51
2025-02-15,credit,bank transfer,4376.19
2024-06-04,debit,finance,2918.81
2025-02-21,debit,medical,3594.11
2025-01-20,debit,finance,4392.31
2025-04-13,credit,investments returns,1015.08
2024-08-06,credit,investments returns,3015.5
2024-11-16,credit,bank transfer,2991.38
2024-07-14,debit,personal,3264.42
2024-08-13,credit,salary,1194.41
2025-02-06,credit,salary,1682.36
2025-02-06,credit,refunds,2020.77
2025-04-03,debit,education,4927.69
2024-05-20,debit,gambling,1892.59
2024-09-03,credit,investments returns,1966.61
2025-05-05,debit,education,1464.19
2024-12-16,debit,shopping,2272.19
2025-03-31,credit,government benefits,3310.85
2025-04-16,debit,education,3743.99
2024-12-28,debit,medical,1557.46
2024-12-08,debit,gambling,2420.22
2025-03-04,debit,finance,1051.81
2025-04-07,debit,personal,4024.58
2025-01-20,credit,bank transfer,2031.15
2025-01-20,credit,bank transfer,2158.51
2025-04-20,credit,salary,2259.09
2024-07-17,debit,finance,3228.0
2025-03-02,debit,medical,546.81
2025-04-27,debit,medical,4062.08
2025-03-12,credit,salary,4089.32
2024-06-13,credit,salary,1872.36
2025-04-23,debit,gambling,1005.94
2024-10-15,debit,finance,4822.64
2025-04-09,debit,shopping,3012.05
2025-01-14,credit,government benefits,426.52
2024-10-20,debit,shopping,3935.97
2025-04-24,credit,investments returns,1978.88
2024-07-07,debit,education,801.45
2024-11-18,credit,bank transfer,2512.97
2025-04-26,credit,government benefits,646.43
2024-07-16,debit,gambling,1276.21
2024-08-14,debit,shopping,2685.24
2024-10-15,credit,government benefits,193.97
2024-11-21,debit,education,322.79
2024-10-08,debit,finance,222.04
2024-08-18,credit,government benefits,3136.75
2024-09-23,credit,government benefits,3789.21
2024-05-14,credit,refunds,295.81
2024-05-10,debit,medical,987.12
2025-04-02,credit,bank transfer,941.53
2024-06-23,credit,bank transfer,648.87
2025-02-24,credit,refunds,3676.36
2025-03-09,debit,personal,179.28
2025-01-09,debit,gambling,1934.02
2025-04-05,debit,medical,1378.97
2024-09-12,debit,gambling,4322.0
2024-12-15,credit,government benefits,4892.32
2024-06-16,credit,bank transfer,1094.6
2024-11-06,debit,personal,2535.0
2025-03-09,debit,finance,674.64
2024-07-29,debit,education,3967.64
2025-04-01,credit,investments returns,4633.58
2024-08-09,credit,investments returns,182.08
2024-09-12,debit,education,1866.22
2024-12-07,credit,government benefits,4045.55
2024-10-05,credit,gambling,3299.64
2025-02-24,credit,refunds,4994.63
2025-02-10,debit,medical,3699.3
2025-04-01,debit,finance,533.73
2024-08-02,debit,finance,158.55
2024-10-25,debit,finance,1604.0
2024-05-07,credit,government benefits,2209.99
2025-04-11,credit,refunds,2202.93
2024-11-13,debit,medical,3284.88
2025-03-25,debit,education,15.56
2025-01-25,credit,refunds,664.87
2024-10-04,debit,gambling,4884.45
2025-04-16,credit,bank transfer,2709.94
2024-09-23,credit,gambling,4296.25
2025-04-23,debit,education,2240.34
2024-10-31,credit,refunds,3079.75
2024-11-16,credit,investments returns,4914.72
2024-07-22,debit,medical,4748.63
2024-12-18,credit,salary,1691.25
2024-05-10,debit,shopping,3424.51
2024-09-03,debit,medical,3556.26
2025-04-23,debit,gambling,761.16
2024-10-31,credit,salary,1872.69
2024-12-14,debit,finance,4459.82
2024-10-07,credit,gambling,4004.1
2024-11-11,credit,investments returns,1884.6
2025-03-23,debit,medical,2605.98
2024-06-23,debit,medical,825.87
2025-01-11,credit,government benefits,4800.87
2024-07-29,credit,bank transfer,2734.27
2025-02-23,debit,education,4655.54
2024-12-18,debit,gambling,2832.03
2025-02-20,credit,gambling,502.09
2024-07-16,credit,bank transfer,4398.31
2024-10-06,debit,shopping,2438.76
2024-10-20,debit,education,3058.36
2024-11-02,debit,education,3311.62
2025-03-24,credit,bank transfer,4801.46
2024-06-14,debit,gambling,1648.12
2024-08-11,debit,personal,901.24
2024-09-23,debit,personal,3147.17
2024-06-03,credit,investments returns,1452.91
2025-01-21,debit,shopping,4830.97
2024-08-28,credit,government benefits,447.09
2024-07-09,credit,gambling,1256.27
2025-04-08,credit,government benefits,204.89
2024-07-11,debit,medical,195.27
2024-07-03,credit,government benefits,105.37
2024-11-17,debit,personal,4293.8
2025-04-10,debit,shopping,2300.73
2024-12-01,credit,government benefits,3705.05
2025-03-25,credit,refunds,739.69
2025-04-08,credit,gambling,3320.83
2025-03-20,debit,gambling,2705.19
2025-01-16,debit,shopping,3076.8
2024-07-28,debit,personal,4000.15
2024-05-27,credit,salary,1847.48
2024-11-08,debit,gambling,2711.23
2024-12-03,debit,personal,3782.32
2024-10-30,credit,bank transfer,3955.59
2024-07-23,debit,education,407.12
2024-09-06,debit,education,2731.73
2024-06-15,debit,gambling,2326.01
2025-03-03,credit,salary,1960.97
2024-11-14,credit,salary,3122.45
2024-07-28,credit,bank transfer,618.74
2024-08-25,debit,education,3401.06
2024-07-04,debit,medical,4971.71
2025-02-22,credit,investments returns,1987.36
2025-03-12,credit,gambling,100.45
2024-08-05,credit,investments returns,2771.99
2024-12-05,debit,gambling,492.08
2024-08-27,debit,gambling,77.3
2024-08-21,debit,education,2189.44
2024-09-02,credit,investments returns,3298.51
2025-04-07,credit,refunds,151.83
2024-09-19,credit,refunds,1183.62
2025-03-24,debit,medical,1235.82
2024-05-25,debit,shopping,3579.81
2025-04-20,credit,gambling,1093.64
2024-12-18,credit,salary,2906.96
2024-09-11,credit,salary,4745.51
2024-07-15,credit,refunds,145.57
2024-08-22,debit,education,249.65
2024-11-28,credit,gambling,3678.71
2025-02-03,debit,medical,1292.15
2024-06-06,debit,education,4111.62
2024-12-24,credit,government benefits,2582.86
2025-02-18,debit,gambling,2680.39
2025-02-28,debit,gambling,3915.95
2024-12-05,debit,medical,23.19
2025-05-05,debit,medical,1387.22
2025-01-31,credit,bank transfer,2290.06
2025-03-20,credit,investments returns,2383.53
2024-11-26,debit,finance,3703.0
2024-12-22,credit,bank transfer,1542.24
2025-01-11,debit,personal,1581.8
2025-03-19,debit,education,1233.99
2024-06-06,credit,bank transfer,1948.19
2024-10-17,debit,shopping,1669.78
2025-01-31,credit,refunds,1942.34
2024-09-23,debit,personal,512.16
2025-02-22,debit,shopping,2533.97
2024-09-15,debit,gambling,1526.24
2024-06-21,debit,medical,4637.97
2025-03-30,debit,finance,3853.7
2025-04-01,credit,investments returns,1169.82
2025-03-27,debit,medical,3986.9
2024-06-25,debit,shopping,2591.11
2024-10-27,debit,shopping,621.94
2024-11-26,credit,government benefits,959.87
2024-05-31,debit,medical,2195.43
2024-08-05,debit,finance,1491.02
2025-04-17,debit,shopping,2787.28
2025-04-09,debit,education,4425.39
2024-10-15,debit,personal,1477.19
2024-09-13,debit,personal,2885.42
2025-02-11,credit,government benefits,4903.39
2024-06-03,credit,salary,2684.81
2024-11-20,debit,medical,2890.1
2024-06-16,debit,finance,1892.74
2024-08-10,credit,government benefits,2459.16
2024-06-12,credit,investments returns,851.38
2024-10-23,debit,personal,4271.63
2025-03-29,debit,gambling,360.21
2024-09-12,debit,education,3889.46
2024-11-30,debit,education,4621.4
2024-10-13,credit,salary,1965.54
2024-09-10,debit,personal,106.08
2024-07-05,credit,investments returns,340.45
2025-04-08,credit,bank transfer,4316.04
2025-01-25,credit,bank transfer,828.77
2024-07-02,credit,government benefits,763.68
2024-06-10,debit,education,4768.66
2025-01-16,credit,gambling,4814.8
2024-07-23,debit,gambling,1678.11
2025-03-07,credit,bank transfer,3944.68
2024-09-10,debit,gambling,2754.27
2024-11-26,credit,gambling,2071.64
2024-10-15,debit,personal,2294.49
2024-08-28,debit,medical,4140.71
2025-01-11,credit,salary,4999.4
2024-06-28,debit,medical,4337.72
2025-05-03,debit,finance,4717.0
2024-07-11,debit,shopping,843.04
2024-10-28,debit,gambling,1816.24
2024-10-30,credit,gambling,4890.75
2025-02-12,credit,investments returns,434.46
2024-12-20,debit,shopping,3416.38
2024-06-06,debit,gambling,4773.99
2025-02-08,credit,bank transfer,71.99
2025-03-27,debit,personal,4460.53
2024-11-12,debit,gambling,1806.48
2024-05-08,debit,finance,4371.71
